id,title,price,location,latitude,longitude,type,size,no_of_bedrooms,no_of_bathrooms,completion_status,amenities
5528049,Price Reduced | Middle Floor | Nice Sea View | PJ,2700000,"Dubai, Palm Jumeirah",25.113208,55.138932,Apartment,"1,079 sqft
                      /            100 sqm",1,2,Off-plan,"Partly furnished, Balcony, Barbecue Area, Central A/C, Children's Play Area, Concierge, Kitchen Appliances, Pets Allowed, Shared Gym, View of Water, "
6008529,2BR Type D | Sea and Burj Al Arab Views | PJ,2850000,"Dubai, Palm Jumeirah, Shoreline Apartments",25.106809,55.151201,Apartment,"1,582 sqft
                      /            147 sqm",2,2,Ready,"Furnished, Balcony, Built in Wardrobes, Central A/C, Children's Play Area, Shared Gym, Shared Pool, View of Water, "
6034542,AMAZING LAKE VIEW / 3 BR w/ Maid's Rm Apt @ JUMERIAH LAKE TOWER FOR SALE.,1150000,"Dubai, Jumeirah Lake Towers, Lake Almas West",25.063302,55.137728,Apartment,"1,951 sqft
                      /            181 sqm",3 + Maid,5,,"Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Maids Room, Private Jacuzzi, Security, Shared Gym, Shared Pool, View of Landmark, View of Water, Walk-in Closet, "
6326063,"Exclusive, Unfurnished, Palazzo Versace, Rented",2850000,"Dubai, Culture Village",25.227295,55.341761,Apartment,"2,020 sqft
                      /            188 sqm",2,3,Ready,"Unfurnished, Balcony, Concierge, Covered Parking, Pets Allowed, "
6356778,Studio with Full Sea View | The Palm Tower,1729200,"Dubai, Palm Jumeirah",25.114275,55.139764,Apartment,"507 sqft
                      /            47 sqm",studio,1,Off-plan,"Furnished, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Networked, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, "
6356784,Modern 1 BR apartment at The Palm Tower,3119900,"Dubai, Palm Jumeirah",25.114275,55.139764,Apartment,"1,015 sqft
                      /            94 sqm",1,2,Off-plan,"Furnished, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Networked, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, "
6356790,Spacious 2 BR apartments by Nakheel Properties,8503600,"Dubai, Palm Jumeirah",25.114275,55.139764,Apartment,"2,062 sqft
                      /            192 sqm",2 + Maid,3,Off-plan,"Furnished, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Networked, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, Walk-in Closet, "
6356797,Beautiful 1 BR apartments on Palm Jumeirah,3119900,"Dubai, Palm Jumeirah",25.114275,55.139764,Apartment,"1,015 sqft
                      /            94 sqm",1,2,Off-plan,"Furnished, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Networked, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, "
6376886,3 Bedrooms | High Floor Apt | Sea Views,2100000,"Dubai, Palm Jumeirah, Shoreline Apartments",25.106668,55.149275,Apartment,"2,186 sqft
                      /            203 sqm",3,3,Ready,
6376886,3 Bedrooms | High Floor Apt | Sea Views,2100000,"Dubai, Palm Jumeirah, Shoreline Apartments",25.106668,55.149275,Apartment,"2,186 sqft
                      /            203 sqm",3,3,Ready,
